CNPJ_FUNDO,DENOM_SOCIAL,DT_COMPTC,VL_QUOTA,VL_PATRIM_LIQ,NR_COTST
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-04,0.9628046,113149624.81,8979
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-05,1.0003095,118972982.96,9009
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-06,1.0012916,118850543.25,9025
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-07,1.0321929,122607016.45,9033
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-08,1.0361613,124064827.0,9070
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-11,1.0274777,125904198.99,9115
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-12,1.0198085,125826893.63,9135
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-13,0.9705733,119155839.87,9106
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-14,0.9805186,118768681.99,9081
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-15,0.9363599,115176098.3,9061
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-18,0.9346775,113787802.68,9052
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-19,0.9551968,116442740.58,9045
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-20,0.9392851,114341721.03,9023
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-21,0.9174084,112035084.27,9036
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-22,0.9022668,109354307.28,9028
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-25,0.9022549,107616461.48,9005
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-26,0.8992632,107189553.76,8978
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-27,0.9118231,108904467.11,8979
08.336.054/0001-34,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS,2021-01-28,0.9243944,110198106.92,8976
